visitNumber,pageviews,hits,time_on_site,bounces,newVisits,transactions,transactionRevenue,sessionQualityDim,deviceCategory,browser,operatingSystem,country,city,source,medium,campaign,day_of_week,month,is_weekend
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,30,52,0,4,1,1,8,0
2.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,-1.6543403837370223,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,36,32,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,89,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,90,13,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,90,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,90,34,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,36,32,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,36,38,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,4,90,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,4,90,43,0,4,1,1,8,0
2.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,-1.6543403837370223,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,4,90,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,90,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,90,52,0,4,1,1,8,0
2.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,-1.6543403837370223,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,1,52,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,7,89,52,0,4,1,1,8,0
1.0,-0.4117793801871307,-0.3535819154057318,-0.2667846467204948,1.0318044172283594,0.6044705248269888,-0.1281957636729068,-0.0490815137438162,-0.2936079486097855,0,2,4,29,16,0,4,1,1,8,0
